Country,EdLevel,YearsCodePro,Salary
Canada,Bachelor’s degree,17.0,86976.0
United States,Bachelor’s degree,22.0,92000.0
Poland,Less than a Bachelors,9.0,63792.0
Italy,Less than a Bachelors,2.0,28105.0
United States,Bachelor’s degree,3.0,74300.0
Germany,Master’s degree,4.0,43239.0
United States,Bachelor’s degree,5.0,77777.0
Germany,Master’s degree,3.0,54480.0
United States,Bachelor’s degree,6.0,200000.0
United States,Less than a Bachelors,6.0,105000.0
United States,Bachelor’s degree,30.0,140000.0
United States,Master’s degree,24.0,120000.0
United States,Less than a Bachelors,7.0,50000.0
Canada,Bachelor’s degree,9.0,80000.0
United States,Bachelor’s degree,8.0,150000.0
United States,Bachelor’s degree,3.0,130000.0
Canada,Less than a Bachelors,7.0,68068.0
Canada,Bachelor’s degree,5.0,68068.0
United Kingdom,Master’s degree,14.0,73678.0
United States,Bachelor’s degree,5.0,100000.0
United States,Bachelor’s degree,5.0,105000.0
United States,Less than a Bachelors,2.0,90000.0
United States,Bachelor’s degree,4.0,85000.0
Netherlands,Master’s degree,24.0,105566.0
Brazil,Bachelor’s degree,6.0,12372.0
Brazil,Bachelor’s degree,13.0,72000.0
United States,Post grad,3.0,205000.0
United States,Bachelor’s degree,4.0,197000.0
Germany,Master’s degree,6.0,51888.0
United States,Less than a Bachelors,4.0,65000.0
Australia,Bachelor’s degree,10.0,86853.0
Germany,Master’s degree,21.0,103776.0
United States,Bachelor’s degree,4.0,128000.0
Canada,Bachelor’s degree,9.0,58614.0
United States,Bachelor’s degree,4.0,165000.0
United States,Bachelor’s degree,15.0,130000.0
United States,Bachelor’s degree,6.0,59000.0
United States,Bachelor’s degree,16.0,100000.0
Canada,Bachelor’s degree,9.0,68068.0
United States,Master’s degree,3.0,82500.0
United States,Bachelor’s degree,0.5,70000.0
United States,Less than a Bachelors,5.0,120000.0
United States,Bachelor’s degree,6.0,110000.0
United States,Bachelor’s degree,6.0,120000.0
Canada,Bachelor’s degree,1.0,90000.0
United States,Bachelor’s degree,21.0,175000.0
United States,Bachelor’s degree,1.0,50000.0
United States,Post grad,45.0,110000.0
United States,Master’s degree,6.0,80000.0
United States,Bachelor’s degree,2.0,90000.0
United States,Master’s degree,20.0,180000.0
United States,Bachelor’s degree,5.0,100000.0
France,Master’s degree,3.0,43239.0
United States,Bachelor’s degree,4.0,100000.0
Canada,Bachelor’s degree,42.0,59749.0
Canada,Less than a Bachelors,12.0,60505.0
United Kingdom,Less than a Bachelors,4.0,32315.0
Canada,Bachelor’s degree,3.0,68068.0
Italy,Less than a Bachelors,14.0,54049.0
Australia,Master’s degree,14.0,73491.0
United States,Bachelor’s degree,10.0,120000.0
United States,Less than a Bachelors,20.0,220000.0
United States,Bachelor’s degree,10.0,85000.0
United States,Less than a Bachelors,4.0,55000.0
United States,Master’s degree,2.0,75000.0
United States,Bachelor’s degree,4.0,140000.0
Canada,Bachelor’s degree,32.0,79413.0
United States,Less than a Bachelors,21.0,90000.0
Canada,Bachelor’s degree,1.0,39328.0
United States,Less than a Bachelors,11.0,59000.0
United States,Bachelor’s degree,14.0,226574.0
Brazil,Less than a Bachelors,22.0,25560.0
United States,Less than a Bachelors,21.0,220000.0
United States,Bachelor’s degree,6.0,117200.0
United Kingdom,Master’s degree,20.0,81433.0
United States,Bachelor’s degree,4.0,160000.0
United States,Master’s degree,9.0,180000.0
United States,Bachelor’s degree,23.0,180000.0
United States,Less than a Bachelors,2.0,115000.0
United States,Bachelor’s degree,20.0,82000.0
United States,Master’s degree,23.0,145000.0
Netherlands,Bachelor’s degree,5.0,70264.0
United States,Bachelor’s degree,6.0,75000.0
United States,Master’s degree,16.0,185000.0
Poland,Less than a Bachelors,6.0,24300.0
United States,Post grad,2.0,140000.0
Poland,Master’s degree,3.0,30372.0
United States,Bachelor’s degree,12.0,150000.0
Brazil,Less than a Bachelors,25.0,36300.0
United States,Less than a Bachelors,26.0,133000.0
United Kingdom,Bachelor’s degree,6.0,49119.0
United States,Master’s degree,6.0,68000.0
United States,Bachelor’s degree,14.0,202500.0
United States,Post grad,16.0,180000.0
Poland,Bachelor’s degree,7.0,30372.0
United States,Bachelor’s degree,13.0,120000.0
United States,Bachelor’s degree,14.0,165000.0
United States,Master’s degree,12.0,120000.0
United States,Less than a Bachelors,11.0,110000.0
United States,Less than a Bachelors,12.0,85000.0
United States,Less than a Bachelors,10.0,95000.0
United States,Less than a Bachelors,9.0,155000.0
United States,Bachelor’s degree,3.0,140000.0
United States,Bachelor’s degree,38.0,230000.0
United States,Bachelor’s degree,1.0,75000.0
United States,Bachelor’s degree,15.0,140000.0
United States,Less than a Bachelors,7.0,170000.0
United States,Bachelor’s degree,30.0,180000.0
United States,Master’s degree,29.0,185000.0
Sweden,Bachelor’s degree,3.0,49704.0
United States,Less than a Bachelors,3.0,78000.0
Canada,Bachelor’s degree,8.0,90758.0
Canada,Less than a Bachelors,20.0,86976.0
Poland,Master’s degree,8.0,42528.0
India,Bachelor’s degree,13.0,75396.0
Russian Federation,Bachelor’s degree,3.0,56616.0
United States,Less than a Bachelors,6.0,93901.0
United States,Master’s degree,15.0,150000.0
United States,Less than a Bachelors,8.0,100000.0
Canada,Bachelor’s degree,6.0,64287.0
United States,Bachelor’s degree,5.0,65000.0
United States,Bachelor’s degree,7.0,65000.0
Poland,Master’s degree,13.0,44040.0
United States,Bachelor’s degree,8.0,112000.0
United States,Bachelor’s degree,8.0,106621.0
United States,Bachelor’s degree,4.0,84795.0
Germany,Master’s degree,6.0,64859.0
United States,Bachelor’s degree,0.5,85000.0
Canada,Master’s degree,11.0,98321.0
Germany,Post grad,13.0,121191.0
Brazil,Bachelor’s degree,0.5,11820.0
United States,Bachelor’s degree,13.0,147000.0
United States,Bachelor’s degree,4.0,115000.0
United States,Master’s degree,30.0,128000.0
United Kingdom,Master’s degree,4.0,69800.0
United States,Master’s degree,2.0,76000.0
United States,Bachelor’s degree,6.0,89000.0
India,Bachelor’s degree,4.0,16752.0
United States,Bachelor’s degree,3.0,58000.0
United States,Bachelor’s degree,6.0,70000.0
United States,Bachelor’s degree,1.0,92000.0
United States,Bachelor’s degree,3.0,110000.0
United States,Bachelor’s degree,20.0,163000.0
Italy,Bachelor’s degree,5.0,54049.0
United Kingdom,Master’s degree,3.0,51704.0
United States,Less than a Bachelors,12.0,100000.0
United States,Bachelor’s degree,2.0,85000.0
France,Master’s degree,12.0,51887.0
United States,Master’s degree,5.0,150000.0
United States,Less than a Bachelors,10.0,170000.0
United States,Less than a Bachelors,9.0,130000.0
United States,Post grad,12.0,121000.0
Sweden,Master’s degree,11.0,61608.0
United States,Bachelor’s degree,6.0,65000.0
Canada,Bachelor’s degree,5.0,41597.0
United States,Bachelor’s degree,4.0,45000.0
United States,Master’s degree,4.0,85000.0
United States,Master’s degree,16.0,90000.0
United States,Less than a Bachelors,23.0,99675.0
United States,Master’s degree,25.0,105000.0
United States,Bachelor’s degree,11.0,132000.0
United States,Master’s degree,10.0,85000.0
United States,Post grad,12.0,71000.0
United States,Less than a Bachelors,32.0,140000.0
United States,Bachelor’s degree,10.0,115000.0
United States,Bachelor’s degree,3.0,85000.0
Brazil,Master’s degree,6.0,24744.0
United Kingdom,Post grad,13.0,193889.0
United States,Master’s degree,5.0,105000.0
United States,Bachelor’s degree,28.0,105000.0
United States,Bachelor’s degree,22.0,170000.0
United Kingdom,Bachelor’s degree,4.0,45241.0
United States,Less than a Bachelors,5.0,102000.0
United States,Less than a Bachelors,0.5,90000.0
Brazil,Less than a Bachelors,20.0,54972.0
United States,Master’s degree,3.0,200000.0
United States,Master’s degree,32.0,240000.0
United States,Bachelor’s degree,20.0,165000.0
United States,Bachelor’s degree,13.0,75000.0
United States,Bachelor’s degree,15.0,135000.0
United States,Bachelor’s degree,31.0,200000.0
Canada,Less than a Bachelors,6.0,83194.0
United States,Bachelor’s degree,4.0,83000.0
United Kingdom,Bachelor’s degree,30.0,90482.0
United States,Master’s degree,35.0,225000.0
United States,Master’s degree,10.0,125000.0
United States,Less than a Bachelors,20.0,82000.0
Canada,Bachelor’s degree,4.0,64287.0
United States,Bachelor’s degree,0.5,50000.0
United States,Master’s degree,25.0,150000.0
United States,Post grad,12.0,150000.0
United States,Less than a Bachelors,14.0,130000.0
United States,Master’s degree,20.0,250000.0
United States,Bachelor’s degree,1.0,75000.0
United States,Bachelor’s degree,3.0,100000.0
United States,Bachelor’s degree,11.0,160000.0
Germany,Less than a Bachelors,6.0,45396.0
Germany,Bachelor’s degree,6.0,56211.0
United States,Less than a Bachelors,15.0,100000.0
United States,Bachelor’s degree,2.0,88000.0
France,Master’s degree,4.0,54049.0
Brazil,Less than a Bachelors,5.0,18696.0
United States,Less than a Bachelors,5.0,76000.0
United Kingdom,Bachelor’s degree,7.0,46533.0
Germany,Master’s degree,6.0,58373.0
United States,Less than a Bachelors,10.0,80000.0
Poland,Master’s degree,13.0,82008.0
United States,Master’s degree,8.0,134000.0
United States,Bachelor’s degree,44.0,250000.0
United States,Bachelor’s degree,6.0,88000.0
United States,Bachelor’s degree,5.0,136000.0
United States,Less than a Bachelors,2.0,76000.0
United States,Master’s degree,35.0,240000.0
Brazil,Bachelor’s degree,3.0,34360.0
United States,Bachelor’s degree,8.0,200000.0
Australia,Bachelor’s degree,3.0,66810.0
United States,Master’s degree,3.0,125000.0
United States,Bachelor’s degree,7.0,105000.0
Spain,Post grad,8.0,35672.0
Canada,Master’s degree,9.0,68068.0
Sweden,Master’s degree,12.0,55843.0
United States,Post grad,34.0,140000.0
Canada,Master’s degree,10.0,102102.0
United States,Bachelor’s degree,11.0,225000.0
United States,Less than a Bachelors,4.0,135000.0
Italy,Bachelor’s degree,10.0,30267.0
Canada,Less than a Bachelors,20.0,136136.0
Russian Federation,Master’s degree,2.0,20760.0
Canada,Post grad,3.0,83194.0
United States,Master’s degree,10.0,175100.0
United States,Bachelor’s degree,2.0,100000.0
Brazil,Less than a Bachelors,13.0,32988.0
United States,Bachelor’s degree,4.0,70000.0
United Kingdom,Bachelor’s degree,1.0,50411.0
France,Master’s degree,20.0,97288.0
Brazil,Less than a Bachelors,18.0,32988.0
United States,Master’s degree,13.0,91500.0
United States,Master’s degree,11.0,95000.0
United Kingdom,Less than a Bachelors,3.0,71093.0
United States,Bachelor’s degree,5.0,100000.0
Germany,Bachelor’s degree,13.0,70692.0
United States,Bachelor’s degree,7.0,100000.0
United States,Bachelor’s degree,3.0,90000.0
United States,Bachelor’s degree,5.0,130000.0
United Kingdom,Bachelor’s degree,22.0,86150.0
Canada,Bachelor’s degree,2.0,46891.0
United States,Less than a Bachelors,1.0,43000.0
United States,Bachelor’s degree,6.0,140000.0
United States,Less than a Bachelors,3.0,71500.0
United States,Bachelor’s degree,6.0,145000.0
United States,Bachelor’s degree,1.0,142000.0
Canada,Bachelor’s degree,1.0,41597.0
Canada,Master’s degree,4.0,65043.0
United States,Bachelor’s degree,7.0,85000.0
Canada,Bachelor’s degree,6.0,60505.0
United States,Bachelor’s degree,3.0,68000.0
United States,Bachelor’s degree,15.0,120000.0
Canada,Bachelor’s degree,1.0,62774.0
United States,Less than a Bachelors,7.0,91700.0
United States,Bachelor’s degree,2.0,80000.0
Germany,Less than a Bachelors,16.0,71340.0
United States,Bachelor’s degree,5.0,137000.0
Poland,Master’s degree,4.0,29869.0
United States,Bachelor’s degree,4.0,85000.0
Canada,Less than a Bachelors,15.0,77144.0
United States,Bachelor’s degree,5.0,115000.0
Brazil,Bachelor’s degree,5.0,12372.0
United States,Master’s degree,10.0,125000.0
United States,Bachelor’s degree,8.0,110000.0
United States,Bachelor’s degree,11.0,122000.0
United States,Bachelor’s degree,19.0,200000.0
United States,Less than a Bachelors,4.0,45000.0
United States,Master’s degree,6.0,250000.0
Canada,Master’s degree,7.0,84707.0
United States,Bachelor’s degree,4.0,84000.0
France,Bachelor’s degree,4.0,37834.0
United Kingdom,Less than a Bachelors,14.0,86216.0
United States,Bachelor’s degree,13.0,78000.0
United States,Master’s degree,4.0,137000.0
United States,Bachelor’s degree,20.0,90000.0
United States,Bachelor’s degree,9.0,170000.0
Canada,Less than a Bachelors,4.0,19968.0
United States,Less than a Bachelors,6.0,60000.0
Brazil,Post grad,2.0,22536.0
Germany,Master’s degree,3.0,58368.0
United Kingdom,Bachelor’s degree,8.0,59459.0
Netherlands,Bachelor’s degree,4.0,51888.0
United States,Less than a Bachelors,24.0,125000.0
United States,Less than a Bachelors,7.0,98000.0
United Kingdom,Bachelor’s degree,8.0,80141.0
United States,Master’s degree,15.0,115000.0
Brazil,Less than a Bachelors,3.0,21996.0
United States,Bachelor’s degree,4.0,93000.0
Australia,Bachelor’s degree,4.0,43426.0
Canada,Bachelor’s degree,2.0,37816.0
Australia,Bachelor’s degree,6.0,70150.0
United States,Bachelor’s degree,6.0,75000.0
United States,Bachelor’s degree,2.0,55000.0
Canada,Master’s degree,15.0,58236.0
United Kingdom,Master’s degree,30.0,103408.0
Canada,Bachelor’s degree,3.0,54456.0
Canada,Bachelor’s degree,4.0,70337.0
Canada,Bachelor’s degree,20.0,86976.0
United States,Bachelor’s degree,6.0,215000.0
United States,Bachelor’s degree,8.0,120000.0
United States,Bachelor’s degree,2.0,56000.0
United States,Bachelor’s degree,11.0,154000.0
United Kingdom,Bachelor’s degree,32.0,116333.0
United States,Master’s degree,8.0,195000.0
United States,Bachelor’s degree,7.0,123000.0
Germany,Post grad,7.0,70264.0
Netherlands,Master’s degree,9.0,118908.0
United States,Bachelor’s degree,15.0,105000.0
Spain,Bachelor’s degree,1.0,29186.0
United States,Bachelor’s degree,7.0,126500.0
United States,Bachelor’s degree,1.0,125000.0
United States,Bachelor’s degree,1.0,55000.0
United States,Bachelor’s degree,3.0,105000.0
United States,Less than a Bachelors,22.0,157000.0
United States,Less than a Bachelors,2.0,65000.0
United States,Bachelor’s degree,5.0,68000.0
Brazil,Bachelor’s degree,3.0,16488.0
United Kingdom,Less than a Bachelors,25.0,71093.0
United States,Less than a Bachelors,2.0,77250.0
United States,Bachelor’s degree,25.0,147000.0
Australia,Bachelor’s degree,11.0,86853.0
United States,Bachelor’s degree,4.0,105000.0
United States,Bachelor’s degree,3.0,78530.0
United States,Master’s degree,0.5,84000.0
Canada,Bachelor’s degree,3.0,36303.0
Germany,Less than a Bachelors,11.0,81074.0
Spain,Less than a Bachelors,17.0,64859.0
United States,Bachelor’s degree,15.0,177000.0
United States,Bachelor’s degree,2.0,55000.0
United States,Less than a Bachelors,4.0,115000.0
United States,Master’s degree,8.0,128750.0
United States,Bachelor’s degree,6.0,100000.0
United States,Master’s degree,4.0,76000.0
United States,Master’s degree,2.0,140000.0
United States,Master’s degree,17.0,120000.0
United States,Bachelor’s degree,0.5,65000.0
United States,Less than a Bachelors,7.0,120000.0
Canada,Bachelor’s degree,18.0,128573.0
United Kingdom,Bachelor’s degree,10.0,142185.0
Sweden,Less than a Bachelors,25.0,85908.0
United States,Bachelor’s degree,5.0,85000.0
United States,Less than a Bachelors,29.0,240000.0
Russian Federation,Master’s degree,10.0,120000.0
United Kingdom,Master’s degree,1.0,37485.0
United States,Bachelor’s degree,16.0,250000.0
United States,Bachelor’s degree,0.5,75000.0
United States,Bachelor’s degree,29.0,110000.0
United States,Bachelor’s degree,3.0,150000.0
United States,Bachelor’s degree,10.0,235000.0
United States,Bachelor’s degree,3.0,130000.0
United States,Bachelor’s degree,4.0,80000.0
Spain,Less than a Bachelors,10.0,158000.0
United States,Bachelor’s degree,22.0,85500.0
United States,Less than a Bachelors,5.0,92000.0
United States,Less than a Bachelors,21.0,112000.0
Poland,Master’s degree,6.0,36444.0
United States,Bachelor’s degree,20.0,127000.0
Canada,Less than a Bachelors,1.0,20800.0
United States,Bachelor’s degree,24.0,90000.0
Canada,Less than a Bachelors,23.0,113447.0
United States,Bachelor’s degree,13.0,150000.0
United States,Bachelor’s degree,10.0,150000.0
United States,Bachelor’s degree,2.0,75000.0
United States,Bachelor’s degree,8.0,90000.0
United States,Bachelor’s degree,3.0,157500.0
United States,Bachelor’s degree,2.0,87000.0
United States,Bachelor’s degree,37.0,125000.0
Australia,Bachelor’s degree,22.0,62133.0
Germany,Master’s degree,1.0,88640.0
Brazil,Bachelor’s degree,7.0,30240.0
United States,Less than a Bachelors,11.0,45000.0
Australia,Bachelor’s degree,9.0,76163.0
United States,Bachelor’s degree,1.0,38400.0
United States,Master’s degree,35.0,120000.0
United States,Master’s degree,12.0,130000.0
Australia,Master’s degree,14.0,80172.0
United States,Bachelor’s degree,2.0,88000.0
United States,Bachelor’s degree,5.0,72000.0
United Kingdom,Bachelor’s degree,12.0,161574.0
United States,Master’s degree,3.0,140000.0
United States,Bachelor’s degree,1.0,67000.0
United States,Post grad,2.0,82000.0
United States,Bachelor’s degree,1.0,72000.0
United States,Less than a Bachelors,4.0,80000.0
United States,Bachelor’s degree,18.0,95000.0
United States,Master’s degree,9.0,140000.0
Sweden,Less than a Bachelors,6.0,35592.0
Netherlands,Master’s degree,6.0,64859.0
Brazil,Post grad,3.0,15120.0
United States,Post grad,18.0,120000.0
France,Bachelor’s degree,3.0,41077.0
United States,Bachelor’s degree,3.0,160000.0
United States,Less than a Bachelors,7.0,165000.0
United States,Bachelor’s degree,5.0,105000.0
United States,Less than a Bachelors,16.0,140000.0
United States,Bachelor’s degree,8.0,85000.0
Spain,Master’s degree,18.0,45401.0
Spain,Bachelor’s degree,8.0,41077.0
Canada,Bachelor’s degree,5.0,56723.0
Australia,Bachelor’s degree,8.0,54418.0
France,Post grad,18.0,102693.0
United States,Master’s degree,12.0,100000.0
United States,Bachelor’s degree,15.0,98000.0
United States,Master’s degree,7.0,130000.0
United States,Bachelor’s degree,15.0,77000.0
United States,Bachelor’s degree,1.0,57300.0
Italy,Less than a Bachelors,2.0,19452.0
United States,Bachelor’s degree,4.0,48000.0
United States,Bachelor’s degree,6.0,130000.0
United Kingdom,Master’s degree,2.0,67215.0
United States,Bachelor’s degree,10.0,135000.0
United States,Post grad,3.0,80000.0
Brazil,Less than a Bachelors,6.0,25020.0
United States,Master’s degree,1.0,60000.0
United States,Less than a Bachelors,5.0,90000.0
Canada,Bachelor’s degree,15.0,64287.0
United States,Bachelor’s degree,2.0,140000.0
United States,Bachelor’s degree,9.0,124000.0
United States,Bachelor’s degree,4.0,95000.0
United States,Master’s degree,5.0,105000.0
United States,Bachelor’s degree,3.0,76000.0
United States,Less than a Bachelors,17.0,150000.0
United States,Bachelor’s degree,6.0,163485.0
United States,Bachelor’s degree,1.0,81000.0
Russian Federation,Bachelor’s degree,5.0,20760.0
United States,Bachelor’s degree,1.0,120000.0
United States,Bachelor’s degree,8.0,150000.0
United States,Bachelor’s degree,15.0,109000.0
United States,Master’s degree,2.0,94000.0
United States,Bachelor’s degree,3.0,90000.0
France,Post grad,12.0,77831.0
Canada,Less than a Bachelors,20.0,94539.0
Russian Federation,Bachelor’s degree,3.0,39636.0
United States,Master’s degree,2.0,105000.0
United States,Bachelor’s degree,3.0,93300.0
United Kingdom,Bachelor’s degree,7.0,84019.0
United States,Bachelor’s degree,1.0,68000.0
United States,Less than a Bachelors,12.0,112000.0
United States,Less than a Bachelors,8.0,38400.0
Australia,Bachelor’s degree,15.0,86853.0
Australia,Master’s degree,3.0,32868.0
United States,Bachelor’s degree,17.0,210000.0
United States,Less than a Bachelors,40.0,181000.0
United States,Bachelor’s degree,11.0,136000.0
United States,Bachelor’s degree,0.5,90000.0
India,Bachelor’s degree,7.0,30716.0
United States,Master’s degree,20.0,140000.0
Germany,Master’s degree,12.0,106477.0
United Kingdom,Master’s degree,5.0,60752.0
United States,Bachelor’s degree,8.0,120000.0
United States,Bachelor’s degree,4.0,150000.0
Australia,Bachelor’s degree,4.0,53448.0
Canada,Bachelor’s degree,33.0,75631.0
United States,Bachelor’s degree,24.0,185000.0
United States,Bachelor’s degree,10.0,61000.0
United States,Master’s degree,8.0,80000.0
Australia,Bachelor’s degree,8.0,123598.0
United States,Less than a Bachelors,4.0,82500.0
United States,Master’s degree,15.0,150000.0
Canada,Bachelor’s degree,4.0,70337.0
United States,Bachelor’s degree,1.0,40000.0
United States,Bachelor’s degree,13.0,100000.0
Canada,Bachelor’s degree,7.0,60505.0
Germany,Master’s degree,13.0,81074.0
United States,Bachelor’s degree,3.0,220000.0
Netherlands,Master’s degree,18.0,77832.0
United States,Bachelor’s degree,25.0,220000.0
Sweden,Bachelor’s degree,9.0,54000.0
United States,Post grad,13.0,200000.0
United States,Bachelor’s degree,5.0,77625.0
United States,Bachelor’s degree,3.0,78000.0
Russian Federation,Master’s degree,9.0,50952.0
Poland,Master’s degree,3.0,22776.0
United States,Bachelor’s degree,3.0,100000.0
United States,Master’s degree,20.0,170000.0
Germany,Master’s degree,14.0,81074.0
United States,Bachelor’s degree,6.0,94500.0
United States,Bachelor’s degree,11.0,145000.0
United States,Post grad,5.0,120000.0
United States,Less than a Bachelors,20.0,122000.0
United States,Less than a Bachelors,2.0,145000.0
United States,Master’s degree,8.0,200000.0
United States,Bachelor’s degree,10.0,115000.0
United States,Bachelor’s degree,1.0,100000.0
Australia,Bachelor’s degree,3.0,58124.0
United Kingdom,Bachelor’s degree,4.0,78848.0
United States,Master’s degree,23.0,102000.0
United States,Bachelor’s degree,1.0,55000.0
Canada,Bachelor’s degree,17.0,89245.0
United States,Master’s degree,3.0,177000.0
United States,Bachelor’s degree,20.0,98000.0
United States,Master’s degree,5.0,185000.0
United Kingdom,Bachelor’s degree,15.0,129259.0
United Kingdom,Bachelor’s degree,1.0,30376.0
United States,Less than a Bachelors,13.0,78000.0
Canada,Bachelor’s degree,20.0,40085.0
United Kingdom,Less than a Bachelors,0.5,36193.0
United States,Less than a Bachelors,2.0,61000.0
United States,Bachelor’s degree,5.0,90000.0
United States,Bachelor’s degree,3.0,90000.0
Australia,Post grad,21.0,111572.0
United States,Bachelor’s degree,13.0,180000.0
United States,Master’s degree,4.0,135000.0
United States,Bachelor’s degree,17.0,210000.0
United States,Bachelor’s degree,7.0,138000.0
United States,Bachelor’s degree,13.0,170000.0
United States,Bachelor’s degree,24.0,150000.0
United States,Bachelor’s degree,5.0,84000.0
United States,Post grad,6.0,145000.0
United States,Master’s degree,25.0,110000.0
Australia,Bachelor’s degree,30.0,93533.0
United States,Bachelor’s degree,7.0,140000.0
Canada,Bachelor’s degree,2.0,64287.0
United States,Bachelor’s degree,2.0,140000.0
Italy,Less than a Bachelors,15.0,56211.0
United States,Bachelor’s degree,5.0,115000.0
United States,Bachelor’s degree,3.0,69000.0
United States,Master’s degree,16.0,88244.0
Australia,Bachelor’s degree,22.0,113576.0
United States,Less than a Bachelors,6.0,120000.0
Australia,Less than a Bachelors,19.0,156350.0
United States,Bachelor’s degree,10.0,42000.0
United States,Master’s degree,17.0,200000.0
Australia,Bachelor’s degree,4.0,84848.0
Netherlands,Master’s degree,12.0,78912.0
United States,Bachelor’s degree,4.0,120000.0
United States,Less than a Bachelors,5.0,102000.0
United States,Less than a Bachelors,26.0,220000.0
Canada,Bachelor’s degree,4.0,53131.0
United States,Bachelor’s degree,15.0,150000.0
United States,Master’s degree,3.0,80000.0
United Kingdom,Bachelor’s degree,23.0,73678.0
United States,Master’s degree,7.0,130000.0
United States,Bachelor’s degree,36.0,104000.0
Brazil,Master’s degree,13.0,90708.0
United States,Master’s degree,5.0,84000.0
Canada,Less than a Bachelors,6.0,79413.0
United States,Bachelor’s degree,2.0,99000.0
Australia,Bachelor’s degree,6.0,122262.0
United States,Master’s degree,6.0,85000.0
United States,Bachelor’s degree,6.0,160000.0
United States,Bachelor’s degree,1.0,30000.0
United States,Bachelor’s degree,29.0,250000.0
United States,Bachelor’s degree,5.0,84000.0
United States,Bachelor’s degree,10.0,92000.0
United States,Bachelor’s degree,1.0,65000.0
United States,Bachelor’s degree,25.0,160000.0
United States,Master’s degree,2.0,110000.0
United States,Bachelor’s degree,15.0,138500.0
United States,Master’s degree,12.0,115000.0
United States,Less than a Bachelors,8.0,85000.0
Canada,Bachelor’s degree,20.0,93783.0
United States,Bachelor’s degree,2.0,78500.0
Germany,Bachelor’s degree,12.0,102693.0
United States,Bachelor’s degree,22.0,130000.0
United States,Bachelor’s degree,30.0,150000.0
United States,Master’s degree,3.0,110000.0
United States,Bachelor’s degree,8.0,88000.0
United States,Less than a Bachelors,4.0,115000.0
United States,Master’s degree,3.0,75000.0
Canada,Bachelor’s degree,11.0,64287.0
United Kingdom,Bachelor’s degree,3.0,124089.0
United States,Bachelor’s degree,15.0,135000.0
United States,Bachelor’s degree,3.0,75000.0
United States,Bachelor’s degree,22.0,203840.0
United States,Bachelor’s degree,1.0,75000.0
United States,Bachelor’s degree,7.0,112200.0
United States,Bachelor’s degree,25.0,125000.0
United States,Bachelor’s degree,4.0,91000.0
United States,Master’s degree,2.0,120000.0
Russian Federation,Master’s degree,4.0,12084.0
United States,Bachelor’s degree,3.0,115000.0
United States,Less than a Bachelors,2.0,78000.0
Australia,Bachelor’s degree,12.0,140300.0
United States,Bachelor’s degree,30.0,150000.0
United States,Master’s degree,4.0,89000.0
Australia,Less than a Bachelors,20.0,123598.0
United States,Bachelor’s degree,7.0,165000.0
Australia,Less than a Bachelors,4.0,73157.0
United States,Bachelor’s degree,2.0,105000.0
United States,Bachelor’s degree,0.5,73008.0
United States,Less than a Bachelors,20.0,90000.0
United States,Bachelor’s degree,8.0,135000.0
United Kingdom,Bachelor’s degree,3.0,45241.0
United States,Bachelor’s degree,7.0,85000.0
United States,Bachelor’s degree,2.0,100000.0
United Kingdom,Less than a Bachelors,10.0,129259.0
United Kingdom,Master’s degree,3.0,42656.0
Australia,Less than a Bachelors,22.0,86853.0
United States,Less than a Bachelors,9.0,160000.0
Canada,Bachelor’s degree,3.0,49160.0
United Kingdom,Less than a Bachelors,13.0,122796.0
United States,Bachelor’s degree,3.0,130000.0
United Kingdom,Post grad,10.0,56874.0
Spain,Less than a Bachelors,2.0,129718.0
United States,Bachelor’s degree,20.0,98000.0
United States,Bachelor’s degree,0.5,95000.0
United States,Bachelor’s degree,7.0,82000.0
United States,Bachelor’s degree,6.0,100000.0
Brazil,Bachelor’s degree,8.0,38484.0
Italy,Bachelor’s degree,20.0,41077.0
Australia,Less than a Bachelors,4.0,30064.0
United States,Master’s degree,10.0,160000.0
United States,Bachelor’s degree,0.5,95000.0
United States,Less than a Bachelors,2.0,150000.0
Australia,Bachelor’s degree,20.0,126938.0
United States,Bachelor’s degree,35.0,70000.0
United States,Bachelor’s degree,8.0,90000.0
United States,Less than a Bachelors,22.0,122000.0
United States,Less than a Bachelors,3.0,97352.0
Canada,Master’s degree,8.0,64287.0
United States,Bachelor’s degree,0.5,65000.0
United States,Master’s degree,7.0,160000.0
United Kingdom,Bachelor’s degree,20.0,45241.0
United States,Bachelor’s degree,3.0,186000.0
Canada,Less than a Bachelors,1.0,41597.0
Germany,Master’s degree,2.0,48644.0
United States,Bachelor’s degree,22.0,120000.0
Canada,Master’s degree,4.0,58992.0
United States,Less than a Bachelors,16.0,120000.0
Australia,Master’s degree,19.0,93533.0
United States,Master’s degree,5.0,120000.0
Poland,Bachelor’s degree,2.0,17316.0
United States,Bachelor’s degree,2.0,16380.0
Australia,Bachelor’s degree,2.0,51109.0
United Kingdom,Bachelor’s degree,6.0,45241.0
United States,Bachelor’s degree,7.0,140000.0
Canada,Bachelor’s degree,3.0,43110.0
United States,Less than a Bachelors,7.0,125000.0
United States,Bachelor’s degree,2.0,96000.0
United States,Bachelor’s degree,35.0,200000.0
United States,Less than a Bachelors,24.0,180000.0
United States,Bachelor’s degree,10.0,150000.0
United States,Master’s degree,16.0,100000.0
United States,Bachelor’s degree,0.5,100000.0
United States,Master’s degree,12.0,130000.0
United States,Bachelor’s degree,5.0,75000.0
